Type,Region,Make,Gear_Type,Origin,Options,Engine_Size,Mileage,Price,Car_Age,IsVintage,IsBigEngine,log_Mileage
Yukon,Riyadh,GMC,Automatic,Saudi,Full,8.0,80000,120000,8,False,True,11.289794413577894
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,5.0,140000,260000,7,False,False,11.849404844423074
Optima,Hafar Al-Batin,Kia,Automatic,Saudi,Semi Full,2.4,220000,42000,7,False,False,12.301387370778713
CX3,Abha,Mazda,Automatic,Saudi,Semi Full,2.0,25000,58000,3,False,False,10.12667110305036
Cayenne S,Riyadh,Porsche,Automatic,Saudi,Full,4.8,189000,85000,10,False,False,12.149507585033072
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2.4,155,48000,6,False,False,5.049856007249537
Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,3.5,110864,81500,6,False,False,11.616068523887098
C300,Makkah,Chrysler,Automatic,Saudi,Full,5.7,200,55000,9,False,False,5.303304908059076
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,4.6,79000,145000,11,False,False,11.277215789596893
LS,Dammam,Lexus,Automatic,Saudi,Full,4.6,299000,38000,14,False,False,12.608202196848836
FJ,Riyadh,Toyota,Automatic,Saudi,Semi Full,4.0,17000,140000,2,False,False,9.741027444837728
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,4.6,71000,200000,3,False,False,11.170449240431308
Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2.0,85000,65000,4,False,False,11.350418300109132
Sunny,Riyadh,Nissan,Manual,Saudi,Standard,1.4,290,7000,11,False,False,5.673323267171493
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,3.5,74715,76000,4,False,False,11.221449538279193
Azera,Riyadh,Hyundai,Automatic,Saudi,Full,3.0,284000,32000,9,False,False,12.556733038263905
Focus,Khobar,Ford,Automatic,Gulf Arabic,Standard,1.6,98000,23000,8,False,False,11.49273296168228
5,Al-Baha,MG,Automatic,Saudi,Semi Full,1.5,3400,42000,1,False,False,8.131824785007195
Spark,Dammam,Chevrolet,Automatic,Saudi,Semi Full,1.4,108,20000,5,False,False,4.6913478822291435
Pathfinder,Al-Ahsa,Nissan,Automatic,Saudi,Semi Full,3.3,550000,10000,20,False,False,13.217675375388819
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,1.4,204000,23000,5,False,False,12.225880174775122
ML,Jeddah,Mercedes,Automatic,Saudi,Semi Full,3.5,139240,45000,12,False,False,11.843961523743884
Corolla,Jazan,Toyota,Automatic,Saudi,Semi Full,1.6,296,30000,9,False,False,5.6937321388027
Tahoe,Riyadh,Chevrolet,Automatic,Other,Semi Full,6.2,105920,149000,5,False,False,11.57044881221388
A,Riyadh,Mercedes,Automatic,Other,Standard,2.0,10000,179000,1,False,False,9.210440366976517
Altima,Aseer,Nissan,Automatic,Saudi,Full,2.5,18500,22000,11,False,False,9.825580063659602
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,5.3,292000,55000,12,False,False,12.584512505902088
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,5.4,270000,49500,9,False,False,12.506180941677357
Senta fe,Riyadh,Hyundai,Automatic,Gulf Arabic,Full,3.3,350000,52000,7,False,False,12.765691290604371
Liberty,Al-Medina,Jeep,Automatic,Saudi,Semi Full,3.7,247000,25000,10,False,False,12.417147664184915
X,Jeddah,BMW,Automatic,Saudi,Full,2.0,92000,72000,7,False,False,11.429554725537322
Elantra,Abha,Hyundai,Automatic,Saudi,Semi Full,2.0,27000,1010,2,False,False,10.203629181337648
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Standard,4.0,98000,105000,4,False,False,11.49273296168228
VTC,Riyadh,Nissan,Manual,Saudi,Semi Full,4.8,307801,99000,6,False,False,12.637211998091601
Malibu,Abha,Chevrolet,Automatic,Saudi,Standard,1.5,62000,57000,2,False,False,11.034905792929415
The 5,Jeddah,BMW,Automatic,Saudi,Standard,2.5,38000,140000,3,False,False,10.545367754151743
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,4.0,208000,72000,12,False,False,12.245298166364206
Sonata,Makkah,Hyundai,Automatic,Saudi,Full,2.5,11000,110000,2,False,False,9.305741456739435
Grand Cherokee,Al-Namas,Jeep,Automatic,Saudi,Semi Full,3.6,245000,55000,8,False,False,12.409017571151187
Camry,Taef,Toyota,Automatic,Saudi,Semi Full,9.0,150000,15000,21,False,True,11.918397239722838
SL,Jeddah,Mercedes,Automatic,Saudi,Full,4.7,81000,265000,5,False,False,11.302216779257382
Previa,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2.4,156000,56500,7,False,False,11.957617696467539
SEL,Tabouk,Mercedes,Automatic,Saudi,Full,3.0,500000,5500,36,True,False,13.122365377402328
FJ,Jeddah,Toyota,Automatic,Saudi,Full,4.0,228000,90000,7,False,False,12.337105293891872
Malibu,Arar,Chevrolet,Automatic,Saudi,Standard,1.5,24000,1200,1,False,False,10.085850775128717
MKZ,Riyadh,Lincoln,Automatic,Saudi,Semi Full,3.7,98100,71500,9,False,False,11.493752839181418
Datsun,Dammam,Nissan,Manual,Saudi,Semi Full,2.0,182000,29000,7,False,False,12.111767460549332
Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2.7,210800,62000,6,False,False,12.258669839471109
Yukon,Riyadh,GMC,Automatic,Gulf Arabic,Standard,5.3,88000,141000,6,False,False,11.385103457032141
Land Cruiser,Qassim,Toyota,Automatic,Saudi,Full,4.5,82808,230000,3,False,False,11.324292030118581
GLC,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2.0,4000,225000,2,False,False,8.294299608857235
Edge,Jeddah,Ford,Automatic,Saudi,Full,3.5,70000,60000,11,False,False,11.156264806643742
6,Jeddah,Mazda,Automatic,Saudi,Standard,2.5,115,93000,1,False,False,4.7535901911063645
Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2.7,91440,68000,4,False,False,11.423449234541877
Navara,Riyadh,Nissan,Manual,Saudi,Semi Full,2.0,45000,50000,7,False,False,10.714439990727769
Senta fe,Riyadh,Hyundai,Automatic,Other,Semi Full,3.3,50100,69000,6,False,False,10.821796246953596
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,3.8,35449,121500,3,False,False,10.475878531960273
Carnival,Jeddah,Kia,Automatic,Saudi,Semi Full,3.3,180,38000,6,False,False,5.198497031265826
Suburban,Al-Medina,Chevrolet,Automatic,Other,Full,5.3,70000,20000,23,False,False,11.156264806643742
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,1.6,66200,51000,5,False,False,11.10045084755119
Camaro,Dammam,Chevrolet,Automatic,Other,Full,3.6,89000,109000,4,False,False,11.39640288460621
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,4.0,349000,48000,8,False,False,12.762830066509972
Malibu,Dammam,Chevrolet,Automatic,Saudi,Full,3.6,105000,47000,6,False,False,11.561725152903833
C300,Riyadh,Chrysler,Automatic,Saudi,Full,5.7,130000,88000,5,False,False,11.775297421715827
Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,1.6,212000,15000,11,False,False,12.264346270624157
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,1.5,139740,20000,8,False,False,11.847545988227967
Azera,Riyadh,Hyundai,Automatic,Other,Semi Full,3.5,256,47000,5,False,False,5.54907608489522
Tahoe,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,5.3,73000,142000,5,False,False,11.19822841866684
Datsun,Qassim,Nissan,Manual,Saudi,Standard,2.4,866,53000,6,False,False,6.7650389767805414
Innova,Qassim,Toyota,Automatic,Saudi,Semi Full,2.7,216,39000,7,False,False,5.37989735354046
Taurus,Makkah,Ford,Automatic,Saudi,Semi Full,2.0,148000,58000,6,False,False,11.904974309480183
Avalon,Jeddah,Toyota,Automatic,Saudi,Semi Full,3.5,188257,78500,8,False,False,12.145568641439128
Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2.5,117000,60000,6,False,False,11.669937760751914
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,5.3,211257,60000,9,False,False,12.260835414324863
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2.0,135000,35000,5,False,False,11.813037464800539
Flex,Riyadh,Ford,Automatic,Saudi,Standard,3.6,290000,30000,7,False,False,12.577639650232573
S,Al-Medina,Mercedes,Automatic,Saudi,Full,3.0,270000,45000,15,False,False,12.506180941677357
Cerato,Jeddah,Kia,Automatic,Saudi,Standard,1.6,43632,45500,3,False,False,10.683569023781297
Furniture,Taef,Toyota,Manual,Saudi,Standard,2.7,530500,33000,13,False,False,13.181577122048536
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,5.3,153000,125000,5,False,False,11.938199736300925
Murano,Riyadh,Nissan,Automatic,Saudi,Standard,1.0,300,9500,14,False,False,5.707110264748875
S,Al-Ahsa,Mercedes,Automatic,Other,Semi Full,5.5,228000,63000,12,False,False,12.337105293891872
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,3.3,126000,63000,6,False,False,11.744045122410057
Land Cruiser 70,Makkah,Toyota,Manual,Saudi,Full,2.6,180000,80000,7,False,False,12.100717685412471
Expedition,Jazan,Ford,Automatic,Saudi,Semi Full,5.4,108000,60000,8,False,False,11.58989576532275
Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2.5,122000,44000,5,False,False,11.711784520403112
3,Al-Medina,Mazda,Automatic,Saudi,Standard,1.8,53000,54000,4,False,False,10.87806606028079
Altima,Jeddah,Nissan,Automatic,Saudi,Standard,2.5,181000,37000,5,False,False,12.10625783509458
Pick up,Sabya,Zhengzhou,Manual,Saudi,Semi Full,2.4,13800,35000,2,False,False,9.53249633228804
Charger,Riyadh,Dodge,Automatic,Saudi,Standard,3.6,79000,79000,4,False,False,11.277215789596893
H6,Riyadh,HAVAL,Automatic,Saudi,Full,1.5,9000,70000,2,False,False,9.105090961257085
Hilux,Al-Jouf,Toyota,Manual,Saudi,Full,2.7,168000,81000,5,False,False,12.031725210748633
Corolla,Al-Ahsa,Toyota,Automatic,Saudi,Full,1.6,86500,48000,6,False,False,11.367911253546788
Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2.7,192692,68500,5,False,False,12.168853527847483
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2.0,48000,80000,3,False,False,10.778977123006351
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,1.5,38920,33500,3,False,False,10.569289229700592
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,1.4,32000,33000,5,False,False,10.373522431293592
Fusion,Jazan,Ford,Automatic,Saudi,Standard,2.5,219000,14500,10,False,False,12.296831574998258
Aveo,Qassim,Chevrolet,Manual,Other,Standard,1.2,102000,11000,11,False,False,11.532737896139919
Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2.5,3000,118000,2,False,False,8.006700845440367
Corolla,Qassim,Toyota,Automatic,Saudi,Standard,1.6,334000,36500,9,False,False,12.718899265966332
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,1.6,34000,32000,6,False,False,10.434145214930487
CX9,Al-Ahsa,Mazda,Automatic,Saudi,Full,2.5,229000,63000,6,False,False,12.34148164933907
Expedition,Dammam,Ford,Automatic,Saudi,Semi Full,5.4,151000,65000,8,False,False,11.92504173829169
